danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.732,0.558,4,-10.293,0,0.244,0.0734,0.0000428,0.114,0.465,141.8,"audio_features","1lWDv7GVtG9KxN4EeVah3I","spotify:track:1lWDv7GVtG9KxN4EeVah3I","https://api.spotify.com/v1/tracks/1lWDv7GVtG9KxN4EeVah3I","https://api.spotify.com/v1/audio-analysis/1lWDv7GVtG9KxN4EeVah3I",148752,4
0.841,0.835,8,-6.191,0,0.308,0.263,0,0.108,0.702,133.024,"audio_features","4aWxp4mBOnWIUDlXb4ngaV","spotify:track:4aWxp4mBOnWIUDlXb4ngaV","https://api.spotify.com/v1/tracks/4aWxp4mBOnWIUDlXb4ngaV","https://api.spotify.com/v1/audio-analysis/4aWxp4mBOnWIUDlXb4ngaV",294040,4
0.611,0.409,8,-9.286,0,0.0318,0.156,0,0.0496,0.394,97.944,"audio_features","4MW6iAySicumcMCbScZPCG","spotify:track:4MW6iAySicumcMCbScZPCG","https://api.spotify.com/v1/tracks/4MW6iAySicumcMCbScZPCG","https://api.spotify.com/v1/audio-analysis/4MW6iAySicumcMCbScZPCG",260467,4
0.913,0.515,0,-7.222,0,0.0829,0.293,0.0000879,0.608,0.183,126.995,"audio_features","2wOMjb2Edv1HmkVtERnjDB","spotify:track:2wOMjb2Edv1HmkVtERnjDB","https://api.spotify.com/v1/tracks/2wOMjb2Edv1HmkVtERnjDB","https://api.spotify.com/v1/audio-analysis/2wOMjb2Edv1HmkVtERnjDB",243089,4
0.562,0.826,11,-7.598,1,0.353,0.129,0,0.0962,0.604,73.252,"audio_features","7kbgzSYR7X9FkzIeUFkviQ","spotify:track:7kbgzSYR7X9FkzIeUFkviQ","https://api.spotify.com/v1/tracks/7kbgzSYR7X9FkzIeUFkviQ","https://api.spotify.com/v1/audio-analysis/7kbgzSYR7X9FkzIeUFkviQ",311640,4
0.578,0.713,10,-5.472,0,0.136,0.171,0,0.102,0.0602,117.62,"audio_features","0ZQZHYxAvBYCWFVgzJQKcc","spotify:track:0ZQZHYxAvBYCWFVgzJQKcc","https://api.spotify.com/v1/tracks/0ZQZHYxAvBYCWFVgzJQKcc","https://api.spotify.com/v1/audio-analysis/0ZQZHYxAvBYCWFVgzJQKcc",255177,4
0.735,0.897,3,-4.265,1,0.141,0.173,0,0.102,0.74,129.954,"audio_features","1VV6bRVCHKpYpyhhbggywB","spotify:track:1VV6bRVCHKpYpyhhbggywB","https://api.spotify.com/v1/tracks/1VV6bRVCHKpYpyhhbggywB","https://api.spotify.com/v1/audio-analysis/1VV6bRVCHKpYpyhhbggywB",268560,4
0.457,0.737,2,-7.425,1,0.329,0.189,0,0.391,0.389,149.115,"audio_features","3aDScQFPX59ScU9ZtTTfoA","spotify:track:3aDScQFPX59ScU9ZtTTfoA","https://api.spotify.com/v1/tracks/3aDScQFPX59ScU9ZtTTfoA","https://api.spotify.com/v1/audio-analysis/3aDScQFPX59ScU9ZtTTfoA",234867,4
0.788,0.536,6,-6.543,0,0.0614,0.735,0,0.0526,0.653,80.03,"audio_features","0JohnuQkKn8bPyZ838oPRQ","spotify:track:0JohnuQkKn8bPyZ838oPRQ","https://api.spotify.com/v1/tracks/0JohnuQkKn8bPyZ838oPRQ","https://api.spotify.com/v1/audio-analysis/0JohnuQkKn8bPyZ838oPRQ",176509,4
0.523,0.879,7,-5.238,1,0.0464,0.00523,0.000342,0.134,0.388,139.963,"audio_features","7hiltNsRnfq2aFNFEOszpe","spotify:track:7hiltNsRnfq2aFNFEOszpe","https://api.spotify.com/v1/tracks/7hiltNsRnfq2aFNFEOszpe","https://api.spotify.com/v1/audio-analysis/7hiltNsRnfq2aFNFEOszpe",219707,4
